tokens,sentiment_type,count
vancouver,neutral,53
in,neutral,38
and,neutral,34
is,neutral,30
have,neutral,28
you,neutral,27
my,neutral,26
who,neutral,26
if,neutral,26
or,neutral,26
hiring,neutral,25
engineers,neutral,25
software,neutral,25
react,neutral,25
know,neutral,25
with,neutral,25
anyone,neutral,25
experience,neutral,25
texas,neutral,25
does,neutral,25
team,neutral,25
vancouver,positive,19
the,positive,18
the,neutral,18
in,positive,15
to,neutral,10
to,positive,8
and,positive,8
for,positive,7
a,neutral,7
vancouver,negative,7
of,positive,7
on,neutral,6
freedom,neutral,6
of,negative,6
at,neutral,6
i,positive,5
truckers,neutral,5
is,positive,5
this,positive,5
has,neutral,5
a,positive,5
from,positive,5
a,negative,5
of,neutral,5
just,neutral,4
it,positive,4
have,positive,4
th,neutral,4
at,positive,4
seabus,neutral,4
you,positive,4
in,negative,4
burrard,neutral,4
pm,neutral,4
one,positive,4
another,positive,4
up,positive,4
29,neutral,4
rally,neutral,4
i,neutral,4
for,neutral,3
so,positive,3
that,positive,3
bc,neutral,3
canada,neutral,3
view,positive,3
office,positive,3
nice,positive,3
as,positive,3
with,positive,3
as,neutral,3
an,positive,3
from,neutral,3
soon,neutral,3
to,negative,3
the,negative,3
on,positive,3
really,positive,3
here,positive,3
that,negative,3
these,positive,2
community,positive,2
this,neutral,2
theyre,negative,2
columbia,neutral,2
check,negative,2
get,positive,2
them,positive,2
that,neutral,2
club,positive,2
close,positive,2
close,negative,2
city,positive,2
city,negative,2
got,neutral,2
guys,positive,2
revisit,neutral,2
fan,negative,2
convoy,neutral,2
its,positive,2
hole,positive,2
everyone,positive,2
hosts,negative,2
rain,neutral,2
railway,positive,2
finally,positive,2
quay,neutral,2
first,positive,2
formerly,positive,2
iconic,positive,2
ii,neutral,2
im,neutral,2
saturday,positive,2
sale,positive,2
games,negative,2
gap,positive,2
she,neutral,2
pretty,positive,2
start,positive,2
departed,neutral,2
demanding,positive,2
striking,positive,2
study,neutral,2
get,neutral,2
its,neutral,2
my,positive,2
great,positive,2
also,neutral,2
like,positive,2
being,negative,2
otter,neutral,2
new,positive,2
arrived,neutral,2
light,positive,2
workers,positive,2
be,positive,2
work,positive,2
waterfront,neutral,2
watering,positive,2
north,neutral,2
499000,positive,2
typically,negative,2
wage,positive,2
no,neutral,2
after,negative,2
lonsdale,neutral,2
out,negative,2
organization,negative,2
we,neutral,2
transit,positive,2
own,positive,2
world,positive,2
between,positive,2
offers,positive,2
card,negative,2
2,neutral,2
your,positive,2
known,positive,2
local,negative,2
canada,positive,2
can,positive,2
and,negative,2
many,positive,2
by,positive,2
by,neutral,2
2021,neutral,2
was,positive,2
british,neutral,2
2022,neutral,2
men,neutral,2
area,positive,2
live,positive,2
miss,neutral,2
rally,positive,1
ranging,positive,1
rbc,neutral,1
off,positive,1
offence,neutral,1
offered,positive,1
nurses,positive,1
return,neutral,1
re,neutral,1
now,positive,1
retirement,neutral,1
name,neutral,1
required,positive,1
requested,neutral,1
reply,positive,1
national,neutral,1
natl,neutral,1
need,positive,1
registered,neutral,1
reductions,neutral,1
recently,neutral,1
realty,neutral,1
newest,positive,1
no,positive,1
noooooooo,positive,1
ready,positive,1
ready,negative,1
north,positive,1
not,negative,1
nicole,neutral,1
ontario,neutral,1
pyeongchang,neutral,1
pacific,neutral,1
police,neutral,1
police,negative,1
poet,positive,1
poems,positive,1
over,neutral,1
please,positive,1
please,neutral,1
overpass,neutral,1
pipelines,positive,1
photo,neutral,1
paintings,positive,1
out,positive,1
paris,positive,1
part,neutral,1
participate,positive,1
partly,neutral,1
paul,neutral,1
person,positive,1
pdx,positive,1
perimeter,negative,1
pearlee,positive,1
perfect,positive,1
position,negative,1
out,neutral,1
program,positive,1
oss,positive,1
officer,negative,1
olympic,neutral,1
on,negative,1
once,negative,1
program,neutral,1
online,negative,1
people,positive,1
process,positive,1
probe,neutral,1
oomfs,positive,1
prized,positive,1
possessions,positive,1
premier,neutral,1
others,positive,1
practitioner,positive,1
posts,positive,1
posts,negative,1
ottawa,negative,1
posted,neutral,1
our,neutral,1
our,positive,1
possible,neutral,1
people,neutral,1
1498800,neutral,1
reunion,positive,1
unique,positive,1
tune,neutral,1
tweet,neutral,1
two,neutral,1
u,neutral,1
unceeded,neutral,1
understand,neutral,1
up,neutral,1
tsleilwaututh,neutral,1
us,neutral,1
use,negative,1
utility,positive,1
vancouve,neutral,1
vancouvers,positive,1
ve,neutral,1
tuesday,positive,1
trudeaus,neutral,1
reveals,neutral,1
tokyo,positive,1
time,positive,1
times,positive,1
tinwei,positive,1
tiny,positive,1
tmx,positive,1
today,positive,1
too,neutral,1
truckers,positive,1
toronto,positive,1
tour,positive,1
towns,positive,1
tractor,positive,1
tree,negative,1
truck,negative,1
venues,positive,1
very,positive,1
via,negative,1
winning,positive,1
where,neutral,1
which,positive,1
whistler,neutral,1
who,positive,1
will,positive,1
wine,neutral,1
witness,positive,1
via,positive,1
woodpecker,negative,1
working,neutral,1
would,positive,1
yesterday,neutral,1
york,positive,1
your,neutral,1
when,positive,1
westbank,neutral,1
went,neutral,1
wellness,positive,1
wearing,neutral,1
we,positive,1
way,positive,1
watch,neutral,1
washington,positive,1
was,neutral,1
want,neutral,1
wann,positive,1
wa,positive,1
w,positive,1
vs,negative,1
vonn,neutral,1
vibe,neutral,1
timbertrain,neutral,1
thursday,neutral,1
thought,positive,1
sikh,negative,1
share,neutral,1
sheldon,neutral,1
shooting,neutral,1
should,negative,1
shouldnt,positive,1
sign,positive,1
skier,neutral,1
speak,positive,1
sliders,positive,1
slopes,neutral,1
snow,neutral,1
social,positive,1
some,positive,1
sons,negative,1
shangrila,positive,1
sext,neutral,1
sessions,positive,1
seeing,positive,1
see,positive,1
see,neutral,1
season,negative,1
says,positive,1
saw,negative,1
safety,negative,1
rutherford,neutral,1
rush,negative,1
rules,neutral,1
roth,positive,1
roof,negative,1
rome,positive,1
roasters,neutral,1
southbound,positive,1
speaks,positive,1
think,positive,1
taya,neutral,1
support,positive,1
swimwear,neutral,1
system,positive,1
take,positive,1
taking,neutral,1
taxi,neutral,1
team,positive,1
spinelli,neutral,1
temple,negative,1
temporarily,negative,1
territory,neutral,1
terrorists,positive,1
thanks,positive,1
their,positive,1
support,neutral,1
superman,negative,1
sun,positive,1
sumie,neutral,1
suite,negative,1
suggested,negative,1
street,neutral,1
story,positive,1
stat,positive,1
stars,negative,1
standing,positive,1
stand,neutral,1
st,positive,1
squamish,neutral,1
squad,neutral,1
sqft,neutral,1
spot,positive,1
something,negative,1
lit,positive,1
musqueam,neutral,1
case,neutral,1
ceremony,neutral,1
certification,positive,1
cgl,positive,1
chance,neutral,1
charges,positive,1
chengdu,negative,1
chief,negative,1
child,neutral,1
chilliwack,neutral,1
chinook,neutral,1
chontelle,neutral,1
cloudy,neutral,1
cochair,neutral,1
coffee,neutral,1
collingwood,neutral,1
cathy,neutral,1
care,positive,1
beauty,negative,1
canucks,positive,1
before,positive,1
berlin,positive,1
bes,neutral,1
bidens,neutral,1
bios,positive,1
born,positive,1
both,neutral,1
build,positive,1
built,neutral,1
burial,negative,1
but,positive,1
c,positive,1
camera,positive,1
canadian,neutral,1
canadian,positive,1
collision,positive,1
colours,neutral,1
come,positive,1
company,positive,1
defenders,positive,1
depth,neutral,1
di,neutral,1
didnt,neutral,1
difference,neutral,1
dipietro,neutral,1
director,neutral,1
display,positive,1
dni,neutral,1
domestic,positive,1
dominated,neutral,1
doug,neutral,1
down,negative,1
dries,neutral,1
drive,neutral,1
decent,positive,1
dec,neutral,1
death,positive,1
cou,negative,1
compilation,neutral,1
condo,neutral,1
contest,positive,1
continue,neutral,1
convoy,negative,1
corp,neutral,1
country,neutral,1
day,neutral,1
country,positive,1
counts,neutral,1
creates,negative,1
curated,positive,1
current,positive,1
daughter,neutral,1
beaver,neutral,1
be,neutral,1
dubailoves,positive,1
8th,neutral,1
959,neutral,1
a24,neutral,1
abbotsford,neutral,1
about,neutral,1
about,positive,1
abuse,neutral,1
accident,negative,1
accommodate,positive,1
accreditation,positive,1
action,positive,1
adventure,positive,1
after,positive,1
against,positive,1
alberta,neutral,1
all,neutral,1
9,neutral,1
80s,positive,1
be,negative,1
63rd,positive,1
20032004,neutral,1
2017,neutral,1
2301,neutral,1
3,neutral,1
351,neutral,1
353,neutral,1
356,neutral,1
358,neutral,1
3pm,neutral,1
3x,neutral,1
45f,neutral,1
4pm,positive,1
5,neutral,1
5058,neutral,1
51,neutral,1
all,positive,1
allow,positive,1
allowed,negative,1
alpine,neutral,1
at,negative,1
attended,neutral,1
ave,positive,1
avril,neutral,1
awards,neutral,1
b,positive,1
ba,neutral,1
back,neutral,1
bands,positive,1
banner,positive,1
barge,neutral,1
bartype,positive,1
based,neutral,1
bcs,positive,1
bd,neutral,1
assign,neutral,1
asked,positive,1
ask,negative,1
another,neutral,1
amazing,positive,1
amp,negative,1
amp,positive,1
an,neutral,1
anna,neutral,1
announced,positive,1
any,positive,1
as,negative,1
apartment,positive,1
are,neutral,1
are,positive,1
around,positive,1
art,negative,1
art,neutral,1
drop,positive,1
during,negative,1
musician,neutral,1
lam,positive,1
last,positive,1
launch,neutral,1
laureate,positive,1
learn,neutral,1
learn,positive,1
lengthy,positive,1
lets,neutral,1
like,neutral,1
lindsey,neutral,1
line,positive,1
listed,neutral,1
2,negative,1
little,negative,1
little,positive,1
lives,neutral,1
land,positive,1
krista,neutral,1
island,positive,1
known,neutral,1
jan,neutral,1
joe,positive,1
jonathan,negative,1
jorda,negative,1
jordan,negative,1
joyce,neutral,1
just,negative,1
kariya,neutral,1
katarina,neutral,1
kent,negative,1
kent,positive,1
killed,negative,1
killingswort,negative,1
kind,positive,1
king,neutral,1
living,positive,1
lois,negative,1
london,positive,1
look,neutral,1
miami,positive,1
michael,neutral,1
mille,neutral,1
mining,positive,1
minutes,positive,1
miss,positive,1
mkultra,neutral,1
model,neutral,1
montreal,positive,1
most,positive,1
motorcycle,positive,1
moved,neutral,1
moved,positive,1
moving,positive,1
music,positive,1
memories,positive,1
members,negative,1
meetings,positive,1
make,neutral,1
lottery,positive,1
love,positive,1
lw,neutral,1
madrid,positive,1
maestra,positive,1
main,positive,1
mandates,positive,1
meet,negative,1
maria,positive,1
maximus,neutral,1
mcmillan,neutral,1
me,neutral,1
medallist,neutral,1
media,positive,1
its,negative,1
is,negative,1
e,positive,1
fiona,positive,1
fmep,neutral,1
forced,negative,1
fords,neutral,1
forever,positive,1
found,neutral,1
fun,positive,1
future,positive,1
g11,neutral,1
gallery,negative,1
gallery,neutral,1
game,negative,1
games,neutral,1
gestures,positive,1
get,negative,1
getaway,positive,1
fireplace,positive,1
few,positive,1
involving,positive,1
fatal,neutral,1
early,positive,1
east,neutral,1
easy,negative,1
elysium,positive,1
employee,negative,1
employees,positive,1
end,positive,1
energy,positive,1
entire,positive,1
escape,positive,1
every,neutral,1
exchange,neutral,1
excited,positive,1
experience,positive,1
fame,neutral,1
getting,neutral,1
going,negative,1
going,neutral,1
going,positive,1
hope,neutral,1
hopefully,neutral,1
hour,negative,1
housing,positive,1
hung,positive,1
hyped,positive,1
i,negative,1
idea,positive,1
im,positive,1
implied,positive,1
innovative,positive,1
inspired,neutral,1
intelligence,neutral,1
into,neutral,1
investigators,neutral,1
his,neutral,1
hiding,neutral,1
hey,neutral,1
has,positive,1
good,positive,1
granfondo,neutral,1
green,negative,1
gurdwara,positive,1
haines,neutral,1
hall,neutral,1
haynes,neutral,1
her,neutral,1
healthcare,positive,1
hear,neutral,1
hearing,neutral,1
heated,positive,1
helicopter,positive,1
henrik,neutral,1
zoolander,neutral,1
